ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
91595906,2022-08-11T12:21:49.733000,2022-08-11T12:35:18.536000,buy,0.26,EURUSDm,1.03406,1.03319,0,0,0,0,-22.62
91593955,2022-08-11T12:30:22.420000,2022-08-11T12:35:15.363000,buy,0.24,GBPUSDm,1.224,1.22178,0,0,0,0,-53.28
91566589,2022-08-11T11:57:08.093000,2022-08-11T12:17:15.985000,sell,0.01,XAUUSDm,1794.199,1797.063,0,0,0,0,-2.86
91550679,2022-08-11T11:51:06.512000,2022-08-11T12:17:10.648000,sell,0.24,EURUSDm,1.033,1.03368,0,0,0,0,-16.32
91561393,2022-08-11T11:50:13.803000,2022-08-11T12:17:07.571000,sell,0.25,AUDUSDm,0.71104,0.71152,0,0,0,0,-12
91379023,2022-08-11T07:06:08.062000,2022-08-11T11:40:21.571000,sell,0.18,GBPUSDm,1.22232,1.2222,0,0,0,0,2.16
91399806,2022-08-11T07:28:09.326000,2022-08-11T11:38:45.531000,sell,0.25,AUDUSDm,0.70965,0.71116,0,0,0,0,-37.75
91108143,2022-08-11T01:03:27.800000,2022-08-11T11:38:45.528000,sell,0.25,AUDUSDm,0.70754,0.71116,0,0,0,0,-90.5
91156629,2022-08-11T02:02:03.275000,2022-08-11T09:32:32.954000,sell,0.01,XAUUSDm,1787.245,1790.071,0,0,0,0,-2.82
89796657,2022-08-09T16:46:44.387000,2022-08-10T13:04:01.672000,buy,0.11,GBPUSDm,1.20782,1.22263,0,0,0,0,162.91
89686743,2022-08-09T14:40:30.383000,2022-08-10T13:03:58.181000,buy,0.07,EURUSDm,1.0231,1.03253,0,0,0,0,66.01
89308354,2022-08-09T09:09:34.779000,2022-08-10T13:03:55.026000,buy,0.09,AUDUSDm,0.69932,0.70581,0,0,0,0,58.41
89307423,2022-08-09T09:08:08.016000,2022-08-10T13:03:51.386000,buy,0.11,GBPUSDm,1.21286,1.22294,0,0,0,0,110.88
89306534,2022-08-09T09:06:46.903000,2022-08-09T16:45:26.828000,buy,0.01,XAUUSDm,1791.803,1795.262,0,0,0,0,3.46
88720126,2022-08-08T15:46:48.171000,2022-08-09T09:08:41.924000,sell,0.09,AUDUSDm,0.69858,0.69942,0,0,0,0,-7.56
88592144,2022-08-08T13:40:29.121000,2022-08-09T09:07:30.275000,sell,0.09,GBPUSDm,1.21163,1.2124,0,0,0,0,-6.97
88321440,2022-08-08T07:32:05.144000,2022-08-09T09:07:23.344000,sell,0.04,GBPUSDm,1.21054,1.21239,0,0,0,0,-7.4
88503223,2022-08-08T12:06:02.592000,2022-08-09T09:05:33.284000,sell,0.01,XAUUSDm,1783.533,1791.165,0,0,0,0,-7.64
88692647,2022-08-08T15:11:43.669000,2022-08-09T09:02:04.586000,buy,0.1,USDCADm,1.28453,1.28506,0,0,0,0,4.12
88081375,2022-08-08T00:47:58.294000,2022-08-08T06:13:48.615000,buy,0.22,AUDUSDm,0.69088,0.69309,0,0,0,0,48.62
87215626,2022-08-05T06:43:31.033000,2022-08-05T12:44:58.359000,buy,0.15,GBPUSDm,1.21528,1.20661,0,0,0,0,-130.05
86772984,2022-08-04T13:45:36.823000,2022-08-05T12:30:20.875000,buy,0.3,AUDUSDm,0.69593,0.691,0,0,0,0,-147.9
86772833,2022-08-04T13:45:32.182000,2022-08-05T12:30:08.322000,sell,0.3,USDCADm,1.28605,1.29087,0,0,0,0,-112.02
86880476,2022-08-04T15:23:03.477000,2022-08-04T15:48:56.331000,buy,0.18,GBPUSDm,1.21407,1.2132,0,0,0,0,-15.66
86761738,2022-08-04T13:36:44.522000,2022-08-04T13:45:23.028000,buy,0.3,USDCADm,1.28656,1.28631,0,0,0,0,-5.83
86764545,2022-08-04T13:39:15.388000,2022-08-04T13:45:18.750000,sell,0.2,AUDUSDm,0.6945,0.69578,0,0,0,0,-25.6
86747685,2022-08-04T13:24:19.555000,2022-08-04T13:36:37.433000,sell,0.3,USDCADm,1.28624,1.28685,0,0,0,0,-14.22
86650838,2022-08-04T12:06:00.747000,2022-08-04T13:20:10.959000,sell,0.19,USDCADm,1.28348,1.28648,0,0,0,0,-44.31
86581120,2022-08-04T11:09:32.834000,2022-08-04T11:52:13.538000,buy,0.2,GBPUSDm,1.21039,1.20711,0,0,0,0,-65.6
86576755,2022-08-04T11:05:01.003000,2022-08-04T11:52:10.554000,buy,0.3,GBPUSDm,1.21302,1.20727,0,0,0,0,-172.5
86533723,2022-08-04T10:04:52.166000,2022-08-04T11:52:07.264000,buy,0.3,EURUSDm,1.01914,1.01629,0,0,0,0,-85.5
86533212,2022-08-04T10:04:18.346000,2022-08-04T11:08:25.818000,buy,0.3,AUDUSDm,0.69828,0.69846,0,0,0,0,5.4
86533098,2022-08-04T10:04:12.916000,2022-08-04T11:04:46.957000,buy,0.3,GBPUSDm,1.21876,1.21343,0,0,0,0,-159.9
86473294,2022-08-04T08:24:06.104000,2022-08-04T10:04:06.507000,sell,0.3,AUDUSDm,0.69675,0.69824,0,0,0,0,-44.7
86461496,2022-08-04T08:05:16.902000,2022-08-04T10:04:02.641000,sell,0.3,GBPUSDm,1.21647,1.21877,0,0,0,0,-69
